nap azonosító,dolgozó azonosító,az adott napon ledolgozott órák száma
N3001,D018,7
N3001,D006,2
N3001,D005,3
N3001,D020,1
N3001,D018,4
N3001,D019,4
N3001,D011,4
N3001,D020,1
N3001,D015,2
N3001,D008,6
N3001,D012,1
N3001,D012,9
N3001,D008,6
N3001,D007,8
N3001,D009,1
N3001,D016,10
N3001,D005,7
N3001,D007,2
N3002,D017,5
N3002,D020,4
N3002,D004,11
N3002,D018,12
N3002,D014,7
N3002,D016,2
N3002,D004,5
N3002,D009,6
N3002,D003,2
N3002,D011,7
N3002,D011,8
N3002,D020,11
N3002,D013,7
N3002,D003,2
N3002,D005,2
N3002,D006,5
N3002,D014,9
N3002,D003,8
N3002,D012,9
N3002,D008,10
N3002,D020,1
N3002,D017,5
N3002,D001,1
N3002,D016,12
N3002,D015,9
N3003,D006,3
N3003,D013,2
N3003,D001,2
N3003,D007,7
N3003,D011,3
N3003,D002,3
N3003,D020,1
N3003,D009,5
N3003,D016,10
N3003,D010,6
N3003,D011,10
N3003,D009,1
N3003,D019,9
N3003,D020,10
N3003,D014,4
N3003,D009,10
N3003,D012,9
N3003,D005,11
N3003,D004,9
N3003,D010,10
N3003,D014,12
N3003,D004,7
N3003,D018,1
N3003,D012,3
N3004,D003,6
N3004,D019,7
N3004,D012,2
N3004,D001,6
N3004,D020,8
N3004,D012,2
N3004,D014,5
N3004,D008,9
N3004,D009,5
N3004,D001,8
N3004,D010,4
N3004,D010,1
N3004,D019,8
N3004,D014,2
N3004,D007,9
N3004,D006,3
N3005,D005,11
N3005,D016,8
N3005,D011,3
N3005,D020,6
N3005,D019,8
N3005,D016,8
N3005,D009,4
N3005,D019,8
N3005,D012,6
N3005,D004,9
N3005,D005,4
N3005,D011,3
N3005,D010,12
N3005,D017,2
N3005,D008,7
N3006,D020,3
N3006,D010,7
N3006,D011,4
N3006,D003,6
N3006,D013,3
N3006,D020,3
N3006,D019,5
N3006,D015,8
N3006,D010,7
N3006,D013,5
N3006,D006,1
N3006,D012,5
N3006,D002,8
N3006,D009,10
N3006,D015,1
N3006,D010,2
N3006,D003,10
N3006,D017,2
N3006,D002,8
N3006,D019,11
N3006,D020,8
N3006,D013,8
N3006,D011,12
N3007,D007,6
N3007,D020,3
N3007,D010,8
N3007,D015,4
N3007,D008,8
N3007,D002,7
N3007,D020,3
N3007,D005,3
N3007,D017,1
N3007,D005,3
N3007,D016,4
N3007,D007,6
N3007,D012,5
N3007,D014,9
N3007,D017,2
N3007,D004,9
N3008,D011,2
N3008,D011,3
N3008,D010,8
N3008,D005,11
N3008,D001,5
N3008,D014,2
N3008,D018,12
N3008,D003,6
N3008,D020,1
N3008,D013,7
N3008,D006,4
N3008,D003,4
N3008,D017,3
N3008,D006,5
N3008,D004,4
N3008,D004,12
N3008,D016,6
N3008,D005,5
N3008,D013,9
N3008,D015,8
N3008,D012,1
N3009,D018,6
N3009,D004,10
N3009,D012,2
N3009,D012,5
N3009,D003,7
N3009,D003,9
N3009,D016,1
N3009,D020,6
N3009,D005,5
N3009,D017,10
N3009,D016,10
N3009,D015,2
N3009,D014,11
N3009,D014,3
N3010,D014,2
N3010,D017,5
N3010,D016,12
N3010,D013,4
N3010,D013,12
N3010,D004,6
N3010,D002,11
N3010,D011,5
N3010,D018,8
N3010,D002,4
N3010,D015,1
N3010,D006,3
N3010,D015,12
N3010,D006,9
N3010,D007,5
N3010,D004,2
