nap azonosító,dolgozó azonosító,az adott napon ledolgozott órák száma
N2001,D014,3
N2001,D006,5
N2001,D020,12
N2001,D009,6
N2001,D005,8
N2001,D001,10
N2001,D001,4
N2001,D019,4
N2001,D016,1
N2001,D014,5
N2001,D011,7
N2001,D011,4
N2001,D006,1
N2001,D002,6
N2002,D011,1
N2002,D009,10
N2002,D006,12
N2002,D015,12
N2002,D012,5
N2002,D016,2
N2002,D012,2
N2002,D010,6
N2002,D004,10
N2002,D008,2
N2002,D007,2
N2002,D013,7
N2002,D010,10
N2002,D012,9
N2003,D014,8
N2003,D004,12
N2003,D018,6
N2003,D012,3
N2003,D012,8
N2003,D008,2
N2003,D003,5
N2003,D016,8
N2003,D008,12
N2003,D007,2
N2003,D015,5
N2003,D020,12
N2003,D016,8
N2003,D019,5
N2003,D008,2
N2003,D015,4
N2003,D018,1
N2003,D011,1
N2003,D011,3
N2003,D012,5
N2003,D019,10
N2004,D019,5
N2004,D002,2
N2004,D013,8
N2004,D016,2
N2004,D002,5
N2004,D015,6
N2004,D016,2
N2004,D005,11
N2004,D002,9
N2004,D018,3
N2004,D012,3
N2004,D004,4
N2004,D019,9
N2004,D007,12
N2004,D018,12
N2005,D015,2
N2005,D009,5
N2005,D007,7
N2005,D005,5
N2005,D019,5
N2005,D010,10
N2005,D013,5
N2005,D008,4
N2005,D015,9
N2005,D003,1
N2005,D020,6
N2005,D020,10
N2005,D008,3
N2005,D009,11
N2005,D004,4
N2005,D002,10
N2005,D014,5
N2005,D015,5
N2005,D008,9
N2005,D004,9
N2005,D010,2
N2005,D006,1
N2006,D004,7
N2006,D001,11
N2006,D015,7
N2006,D003,6
N2006,D016,9
N2006,D002,4
N2006,D005,5
N2006,D017,6
N2006,D016,5
N2006,D015,5
N2006,D014,4
N2006,D016,2
N2006,D019,6
N2006,D004,3
N2006,D006,8
N2006,D019,10
N2006,D009,1
N2006,D014,12
N2006,D015,2
N2007,D019,10
N2007,D016,3
N2007,D016,6
N2007,D018,7
N2007,D005,8
N2007,D008,8
N2007,D002,6
N2007,D013,7
N2007,D010,7
N2007,D011,4
N2007,D017,4
N2007,D003,5
N2007,D017,12
N2007,D013,4
N2007,D008,8
N2007,D014,8
N2007,D010,9
N2007,D005,8
N2007,D004,8
N2007,D014,2
N2007,D020,4
N2007,D014,6
N2008,D013,5
N2008,D002,5
N2008,D014,2
N2008,D010,4
N2008,D003,4
N2008,D011,11
N2008,D004,8
N2008,D009,6
N2008,D003,8
N2008,D014,11
N2008,D015,1
N2008,D004,8
N2008,D017,10
N2008,D013,11
N2009,D012,4
N2009,D010,4
N2009,D002,10
N2009,D010,1
N2009,D019,5
N2009,D016,2
N2009,D010,4
N2009,D014,12
N2009,D020,5
N2009,D006,2
N2009,D015,5
N2009,D015,11
N2009,D016,10
N2009,D013,10
N2009,D006,3
N2009,D019,11
N2009,D005,4
N2009,D012,10
N2010,D004,8
N2010,D009,10
N2010,D012,2
N2010,D016,1
N2010,D014,2
N2010,D008,5
N2010,D015,12
N2010,D013,1
N2010,D002,1
N2010,D018,6
N2010,D013,9
N2010,D009,3
N2010,D003,3
N2010,D011,2
N2010,D016,5
N2010,D012,9
N2010,D007,3
N2010,D011,12
N2010,D005,2
N2010,D002,10
N2010,D002,5
N2010,D005,11
N2010,D004,2
N2010,D008,11
N2010,D018,3
